,solver,jit_time,ave_run_time,ave_distance,jit_grad_time,jit_vmap_time,ave_grad_run_time,construction_time,step_count,tol,cpus,gpus,cheb_order,exp_order,vmap,num_inputs,test
138,dyson,3.916210651397705,1.2824969935417174,0.0028100444113636405,11.272704839706421,4.436633348464966,3.0353953313827513,7.322130918502808,20000.0,0.0,1,0,2,2,1,1,0
139,magnus,11.087767362594604,3.7881027936935423,6.456589077505041e-06,32.19161510467529,10.691298723220825,13.46929788351059,42.029000759124756,10000.0,0.0,64,0,2,3,1,1,0
140,dyson,7.5237226486206055,1.1571914887428283,8.533652445895797e-06,22.190006732940674,8.298430681228638,3.325351285934448,12.152247667312622,40000.0,0.0,64,0,2,3,1,1,0
141,dyson,12.291215419769287,6.143677718639374,3.752996640228492e-07,607.3198897838593,372.549444437027,11.694824986457824,63.72080707550049,10000.0,0.0,1,0,1,5,1,50,0
142,dyson,2.8684606552124023,1.0018228673934937,6.69100146897957e-05,8.505139589309692,4.002879858016968,2.372418065071106,1.9858133792877197,20000.0,0.0,1,0,0,3,1,1,0
143,dyson,7.768045425415039,3.8786599969863893,2.1687515623542058e-07,22.114790678024292,8.935550212860107,8.218424293994904,13.808554649353027,20000.0,0.0,1,0,1,4,1,1,0
144,dyson,4.839930534362793,0.9583721899986267,1.37847897345184e-07,15.528322458267212,5.928880453109741,2.657490975856781,2.5587918758392334,40000.0,0.0,64,0,0,4,1,1,0
145,dyson,4.366612434387207,1.6651418781280518,6.690183700152022e-05,13.362131118774414,5.035325765609741,3.8215417742729185,5.3289406299591064,20000.0,0.0,1,0,1,3,1,1,0
146,magnus,17.778066873550415,6.833949537277221,6.39568129115155e-06,273.9016082286835,84.42986845970154,21.968584375381468,10.303509712219238,10000.0,0.0,1,0,1,3,1,10,0
147,dyson,6.986813068389893,1.1234727263450623,3.0244287876594144e-08,22.995883464813232,8.354075193405151,3.297790789604187,7.130129814147949,40000.0,0.0,64,0,1,4,1,1,0
148,magnus,17.694239377975464,6.3325091028213505,6.456585888283577e-06,57.33643651008606,17.794609308242798,21.24266196012497,32.110203981399536,10000.0,0.0,1,0,2,3,1,1,0
149,magnus,9.67821717262268,3.6304162621498106,2.1837244342262385e-06,28.224050760269165,9.343148946762085,13.359590997695923,4.355365991592407,10000.0,0.0,64,0,0,4,1,1,0
150,dyson,9.921808004379272,1.8886054825782777,8.576492682494397e-09,29.455498695373535,11.220102787017822,5.124529535770416,29.535438299179077,40000.0,0.0,64,0,2,4,1,1,0
151,dyson,8.172559976577759,3.5227231669425962,6.689985693956893e-05,20.266502380371094,8.357237100601196,7.658669741153717,19.061230421066284,20000.0,0.0,1,0,2,3,1,1,0
152,dyson,5.381392478942871,1.0553339195251465,1.3502303534555447e-07,16.112741708755493,6.380446195602417,2.934804906845093,2.7129552364349365,40000.0,0.0,64,0,0,5,1,1,0
153,dyson,31.216387033462524,27.667755525112153,7.126540628476166e-08,538.5096926689148,283.3841323852539,47.66971755981445,378.4486219882965,10000.0,0.0,1,0,2,5,1,10,0
154,dyson,3.254671096801758,1.1746945834159852,6.042127795021674e-07,9.643160820007324,3.8081862926483154,2.7275188755989075,2.3294947147369385,20000.0,0.0,1,0,0,4,1,1,0
155,dyson,2.8549680709838867,1.047435986995697,0.0028099441576417577,31.36719846725464,12.961555242538452,2.4284549021720885,2.662100315093994,20000.0,0.0,1,0,0,2,1,10,0
156,dyson,8.982592105865479,1.5321496534347534,2.2801626076319562e-08,25.03451132774353,9.737539291381836,4.1708896708488465,14.46585488319397,40000.0,0.0,64,0,1,5,1,1,0
157,dyson,3.3977901935577393,1.1885593819618225,0.002809966505498604,35.5245566368103,14.927725791931152,2.6874513483047484,4.199469566345215,20000.0,0.0,1,0,1,2,1,10,0
158,magnus,10.896231174468994,3.8414579105377196,3.638354524502324e-07,31.991024494171143,10.954743385314941,13.84414532661438,45.367027759552,10000.0,0.0,64,0,1,4,1,1,0
159,dyson,7.190928936004639,3.634020810127258,2.1687515623542058e-07,19.745187282562256,8.104180097579956,7.76476580619812,12.634532690048218,20000.0,0.0,1,0,1,4,1,1,0
160,dyson,4.161060333251953,1.423428509235382,0.002810044411363863,43.30784583091736,17.963300466537476,3.280396327972412,7.873366117477417,20000.0,0.0,1,0,2,2,1,10,0
161,magnus,14.199811220169067,5.13563937664032,2.1837320847050883e-06,45.495911598205566,14.150047779083252,18.891881754398344,3.871901512145996,10000.0,0.0,1,0,0,4,1,1,0
162,dyson,2.9987869262695312,1.0962476205825806,6.691001468979516e-05,34.043442487716675,13.632129669189453,2.561835823059082,2.0710608959198,20000.0,0.0,1,0,0,3,1,10,0
163,dyson,19.557571411132812,13.314363439083099,1.3559897547829193e-07,48.99263620376587,22.33675789833069,26.30590042591095,76.74644184112549,20000.0,0.0,1,0,2,4,1,1,0
